Frame_ID,Configuration,Panel,Sed_depth
10,Random,25_cm,0.3
10,Random,25_cm,0.1
10,Random,25_cm,0.2
8,Random,25_cm,0.1
8,Random,25_cm,0.1
8,Random,25_cm,0.1
12,Random,25_cm,0.1
12,Random,25_cm,0.1
12,Random,25_cm,0.1
6,Random,25_cm,0.1
6,Random,25_cm,0.1
6,Random,25_cm,0.1
3,Grouped,25_cm,0.2
3,Grouped,25_cm,0.1
3,Grouped,25_cm,0.1
17,Grouped,5_cm,0.1
17,Grouped,5_cm,0.2
17,Grouped,5_cm,0.1
22,Random,5_cm,0.5
22,Random,5_cm,0.1
22,Random,5_cm,0.2
24,Random,5_cm,0.2
24,Random,5_cm,0.2
24,Random,5_cm,0.1
22,Random,5_cm,0.3
22,Random,5_cm,0.9
22,Random,5_cm,0.2
23,Grouped,5_cm,0.1
23,Grouped,5_cm,0.2
23,Grouped,5_cm,0.2
18,Random,Flat,0.4
18,Random,Flat,0.1
18,Random,Flat,0.2
15,Grouped,Flat,0.1
15,Grouped,Flat,0.1
15,Grouped,Flat,0.1
23,Grouped,Flat,0.1
23,Grouped,Flat,0.1
23,Grouped,Flat,0.1
14,Random,Flat,0.1
14,Random,Flat,0.1
14,Random,Flat,0.1
23,Grouped,Flat,0.1
23,Grouped,Flat,0.1
23,Grouped,Flat,0.2
3,Grouped,Ripple,0.1
3,Grouped,Ripple,0.4
3,Grouped,Ripple,0.1
16,Random,Ripple,0.3
16,Random,Ripple,0.5
16,Random,Ripple,0.1
15,Grouped,Ripple,0.3
15,Grouped,Ripple,0.1
15,Grouped,Ripple,0.1
24,Random,Ripple,1
24,Random,Ripple,0.5
24,Random,Ripple,0.2
12,Random,Ripple,0.3
12,Random,Ripple,0.1
12,Random,Ripple,0.1
